permit_number,streetname,Cross Street 1,Cross Street 2,Permit Type,Agent,AgentPhone,Permit Purpose,Approved Date,Status,cnn,permit_zipcode,permit_start_date,permit_end_date,permit_address,24/7 Contact,Inspector,CurbRampWork,X,Y,Latitude,Longitude,Location
20SSP-00063,PIERCE ST,SACRAMENTO ST,CLAY ST,StreetSpace,Fog Horn Builders,415 254 9191,,04/22/2020,ACTIVE,10436000,94115,04/27/2020,06/27/2020,2139 PIERCE ST,415 254 9191,George Shami,,6001816.7002,2115933.56865,37.7900522645769,-122.437584562675,POINT (-122.437584562675 37.7900522645769)
20SSP-00171,GREEN ST,LAGUNA ST,BUCHANAN ST,StreetSpace,LH CONSTRUCTION,415-563-5563,,05/05/2020,ACTIVE,6472000,94123,05/11/2020,08/10/2020,1977 GREEN ST,415 563 5563,George Shami,,6003602.01947,2118246.64243,37.7965047175642,-122.431572713379,POINT (-122.431572713379 37.7965047175642)
19TC-00561,SUTTER ST,LEAVENWORTH ST,HYDE ST,TableChair,Dolce Gelato,(510) 909-8806,Café Tables & Chairs,11/12/2019,APPROVED,12327000,94109,10/16/2019,10/15/2020,916 SUTTER ST,Refer to Agent,,,6008187.08313,2115254.77046,37.7885485849343,-122.415495421493,POINT (-122.415495421493 37.7885485849343)
20TOC-03547,KEITH ST,OAKDALE AVE,PALOU AVE,TempOccup,Pacific Gas & Electric,4083156874,,05/11/2020,APPROVED,7782000,94124,06/12/2020,06/12/2020,,1-800-PGE-5000,,,6016036.75988,2094559.5131,37.7321619170456,-122.386892609145,POINT (-122.386892609145 37.7321619170456)
20TOC-03548,PALOU AVE,JENNINGS ST,KEITH ST,TempOccup,Pacific Gas & Electric,4083156874,,05/11/2020,APPROVED,10220000,94124,06/12/2020,06/12/2020,,1-800-PGE-5000,,,6016223.13211,2094250.64065,37.7313241324187,-122.386226747211,POINT (-122.386226747211 37.7313241324187)
20EXC-01106,SPEAR ST,MISSION ST,HOWARD ST,Excavation,CableCom,650-520-7091,101 Mission St.,04/06/2020,ACTIVE,12045000,94105,05/04/2020,06/01/2020,101 MISSION ST,650-544-4467,Rich Rozzi,,6014423.82427,2116439.61422,37.7921504707743,-122.394000061141,POINT (-122.394000061141 37.7921504707743)
19EXC-05924,BRODERICK ST,ELLIS ST,,Excavation,Pacific Gas & Electric,925-968-8248,Anza Vista,01/24/2020,APPROVED,26361000,,02/22/2020,06/22/2020,,415-264-6935,,,6000826.41578,2112770.17336,37.7813100431458,-122.440783842916,POINT (-122.440783842916 37.7813100431458)
19TC-00512,FILLMORE ST,CALIFORNIA ST,SACRAMENTO ST,TableChair,"Peet's Coffee, Inc.","(845) 356-8390, X321",Sacramento St: 247.5 SF (4 tables & 16 chairs)Fillmore St: 54 SF (2 benches)M- Su 5:30AM to 9:00PM,09/16/2019,APPROVED,5553000,94115,09/16/2019,09/15/2020,2197 FILLMORE ST,Refer to Agent,Nick Haase,,6002830.29904786,2115815.14552444,37.7897846819342,-122.43406912948,POINT (-122.43406912948 37.7897846819342)
20SSP-00067,BROADWAY,DIVISADERO ST,BRODERICK ST,StreetSpace,Clayton Timbrell & Co,415-660-5604,,04/24/2020,ACTIVE,3183000,94115,04/27/2020,10/27/2020,2714 BROADWAY,415 660 5604,George Shami,,6000622.81878,2117197.93371,37.7934559290517,-122.441806063705,POINT (-122.441806063705 37.7934559290517)
20TC-00183,02ND ST,MINNA ST,NATOMA ST,TableChair,Jersey Pizza - 2nd St,415-290-5408,Tables & ChairsM-F 8:00am to 11:00pmSa 5:30pm to 11:00pm,03/16/2020,APPROVED,133000,94105,03/16/2020,03/15/2021,145 02ND ST,Refer to Agent,,,6012961.55344,2114795.48597,37.7875547029015,-122.398944126684,POINT (-122.398944126684 37.7875547029015)
19MFF-00051,DORE ST,HOWARD ST,FOLSOM ST,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,4929000,94103,07/08/2019,07/15/2020,,(415) 602-5811,,,6008799.90113,2109907.43606,37.7739005079222,-122.412996920413,POINT (-122.412996920413 37.7739005079222)
20SSP-00267,GREEN ST,END,JONES ST,StreetSpace,Forde Mazzola Associates,(415) 626-5817,,05/11/2020,APPROVED,6460000,94133,05/25/2020,07/25/2020,947 GREEN ST,415-522-5930,,,6008524.91185,2118940.88973,37.7986887454157,-122.414587531806,POINT (-122.414587531806 37.7986887454157)
